rule_name,conditions,n,failrate_pct,winrate_pct,avg_ret_t2_pct,avg_ret_t5_pct,avg_drawdown_t5_pct,action,confidence,reason
V202_RULE_003,market_context fomo/hưng phấn + label:score_bucket_60-69,31,74.19,22.58,-2.319,-2.684,-6.602,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_067,stock_dist_ma20 < -3% + market_ret5 > 4% + market_context fomo/hưng phấn,30,73.33,20.0,-2.216,-2.949,-7.15,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_068,stock_dist_ma20 < -3% + market_ret5 > 4% + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,30,73.33,20.0,-2.216,-2.949,-7.15,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_069,market_ret5 > 4% + market_context fomo/hưng phấn + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,30,73.33,20.0,-2.216,-2.949,-7.15,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_004,market_context fomo/hưng phấn + label:market_regime_BÌNH_THƯỜNG,40,72.5,22.5,-1.708,-1.893,-5.025,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_070,stock_dist_ma20 < -3% + market_ret5 > 4% + label:structure_context_KHÔNG_RÕ_NỀN,32,71.88,25.0,-2.562,-3.138,-7.377,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_071,market_context fomo/hưng phấn + drawdown20 -10% to 0% + label:market_regime_BÌNH_THƯỜNG,32,71.88,21.88,-1.716,-1.913,-4.665,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_005,stock_dist_ma20 > 8% + label:market_regime_RẤT_YẾU,42,71.43,23.81,0.293,-2.646,-8.299,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_072,stock_dist_ma20 > 8% + market_context risk-off + label:market_regime_RẤT_YẾU,42,71.43,23.81,0.293,-2.646,-8.299,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_073,volume_ratio < 1x + volatility_contraction20 < 0.8 + market_context fomo/hưng phấn,41,70.73,21.95,-1.765,-2.361,-5.544,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_074,volume_ratio < 1x + volatility_contraction20 < 0.8 + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,41,70.73,21.95,-1.765,-2.361,-5.544,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_075,volume_ratio < 1x + market_context fomo/hưng phấn + label:volatility_context_VOLATILITY_CO_HẸP,41,70.73,21.95,-1.765,-2.361,-5.544,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_076,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:score_bucket_80+,41,70.73,26.83,-1.29,-2.292,-5.765,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_006,stock_dist_ma20 < -3% + market_ret5 > 4%,34,70.59,23.53,-2.56,-3.037,-7.283,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_007,market_ret5 > 4% + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,34,70.59,23.53,-2.56,-3.037,-7.283,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_077,stock_dist_ma20 < -3% + market_ret5 > 4% + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,34,70.59,23.53,-2.56,-3.037,-7.283,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_078,stock_dist_ma20 < -3% + volatility_contraction20 < 0.8 + label:score_bucket_70-79,61,70.49,18.03,-2.709,-3.78,-6.767,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_079,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + drawdown20 -10% to 0%,48,68.75,25.0,-1.552,-2.032,-5.441,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_080,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:risk_context_PULLBACK_LÀNH_MẠNH,48,68.75,25.0,-1.552,-2.032,-5.441,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_081,volatility_contraction20 < 0.8 + drawdown20 -10% to 0% + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,48,68.75,25.0,-1.552,-2.032,-5.441,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_082,market_context fomo/hưng phấn + drawdown20 -10% to 0% + label:volatility_context_VOLATILITY_CO_HẸP,48,68.75,25.0,-1.552,-2.032,-5.441,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_083,stock_dist_ma20 < -3% + market_context fomo/hưng phấn + label:structure_context_KHÔNG_RÕ_NỀN,32,68.75,28.12,-2.222,-2.32,-7.287,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_084,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:entry_context_ENTRY_GẦN_MA20,38,68.42,26.32,-1.02,-1.861,-4.676,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_008,stock_ret20 > 15% + label:market_regime_RẤT_YẾU,41,68.29,29.27,-0.032,-3.811,-9.581,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_085,stock_ret20 > 15% + market_context risk-off + label:market_regime_RẤT_YẾU,41,68.29,29.27,-0.032,-3.811,-9.581,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_009,market_ret5 > 4% + label:score_bucket_60-69,50,68.0,24.0,-2.157,-1.765,-6.51,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_010,stock_dist_ma20 < -3% + market_context fomo/hưng phấn,34,67.65,26.47,-2.24,-2.267,-7.199,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_011,stock_dist_ma20 < -3% + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,34,67.65,26.47,-2.24,-2.267,-7.199,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_012,market_context fomo/hưng phấn + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,34,67.65,26.47,-2.24,-2.267,-7.199,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_086,stock_dist_ma20 > 8% + volatility_contraction20 > 1.3 + label:market_regime_RẤT_YẾU,34,67.65,29.41,0.946,-2.376,-8.333,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_087,stock_dist_ma20 < -3% + market_context fomo/hưng phấn + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,34,67.65,26.47,-2.24,-2.267,-7.199,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_088,stock_dist_ma20 < -3% + market_context fomo/hưng phấn + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,34,67.65,26.47,-2.24,-2.267,-7.199,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_089,volatility_contraction20 < 0.8 + market_ret5 > 4% + label:entry_context_ENTRY_GẦN_MA20,40,67.5,22.5,-1.45,-1.92,-5.396,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_090,stock_dist_ma20 < -3% + volatility_contraction20 < 0.8 + drawdown20 < -15%,55,67.27,14.55,-2.158,-2.812,-5.801,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_091,stock_dist_ma20 < -3% + volatility_contraction20 < 0.8 + label:risk_context_DRAWDOWN_SÂU,55,67.27,14.55,-2.158,-2.812,-5.801,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_092,stock_dist_ma20 < -3% + drawdown20 < -15% + label:volatility_context_VOLATILITY_CO_HẸP,55,67.27,14.55,-2.158,-2.812,-5.801,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_093,volatility_contraction20 < 0.8 + drawdown20 < -15% + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,55,67.27,14.55,-2.158,-2.812,-5.801,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_013,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn,66,66.67,28.79,-1.722,-2.028,-5.799,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_014,volatility_contraction20 < 0.8 + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,66,66.67,28.79,-1.722,-2.028,-5.799,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_015,market_context fomo/hưng phấn + label:volatility_context_VOLATILITY_CO_HẸP,66,66.67,28.79,-1.722,-2.028,-5.799,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_094,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:volatility_context_VOLATILITY_CO_HẸP,66,66.67,28.79,-1.722,-2.028,-5.799,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_095,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,66,66.67,28.79,-1.722,-2.028,-5.799,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_096,stock_dist_ma20 < -3% + drawdown20 < -15% + label:market_regime_TĂNG_MẠNH,45,66.67,17.78,-2.708,-3.132,-7.371,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_097,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:structure_context_KHÔNG_RÕ_NỀN,45,66.67,31.11,-2.251,-1.935,-6.619,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_098,stock_ret20 > 15% + drawdown20 -10% to 0% + label:market_regime_RẤT_YẾU,30,66.67,30.0,0.414,-3.066,-8.527,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_099,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:extension_context_KHÔNG_QUÁ_NÓNG,56,66.07,28.57,-1.321,-1.745,-5.218,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_100,volume_ratio < 1x + volatility_contraction20 < 0.8 + market_ret5 > 4%,41,65.85,19.51,-2.104,-2.229,-5.744,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_101,volume_ratio < 1x + market_ret5 > 4% + label:volatility_context_VOLATILITY_CO_HẸP,41,65.85,19.51,-2.104,-2.229,-5.744,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_102,stock_dist_ma20 < -3% + volume_ratio < 1x + label:market_regime_TĂNG_MẠNH,152,65.79,19.74,-1.685,-2.577,-6.02,BLOCK_OR_WATCH,HIGH_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_103,volatility_contraction20 < 0.8 + market_context fomo/hưng phấn + label:volume_context_VOLUME_TRUNG_TÍNH,32,65.62,34.38,-1.75,-1.913,-6.557,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_016,stock_dist_ma20 < -3% + label:market_regime_TĂNG_MẠNH,165,65.45,20.0,-1.759,-2.512,-6.064,BLOCK_OR_WATCH,HIGH_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_104,stock_dist_ma20 3-8% + volatility_contraction20 < 0.8 + label:volume_context_VOLUME_TĂNG_VỪA,46,65.22,21.74,-1.418,-2.1,-5.361,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_017,volume_ratio 1.2-2.0x + label:market_regime_BÌNH_THƯỜNG,40,65.0,20.0,-0.881,-3.167,-5.956,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_018,volatility_contraction20 < 0.8 + market_dist_ma20 > 5%,40,65.0,30.0,-1.571,-1.608,-5.485,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_019,market_dist_ma20 > 5% + label:volatility_context_VOLATILITY_CO_HẸP,40,65.0,30.0,-1.571,-1.608,-5.485,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_105,volatility_contraction20 < 0.8 + market_dist_ma20 > 5% + label:volatility_context_VOLATILITY_CO_HẸP,40,65.0,30.0,-1.571,-1.608,-5.485,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_106,volume_ratio < 1x + market_ret5 > 4% + label:score_bucket_60-69,39,64.1,25.64,-1.77,-1.517,-5.858,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_107,stock_ret5 > 8% + stock_dist_ma20 3-8% + label:market_regime_TĂNG_MẠNH,36,63.89,16.67,-1.967,-2.134,-6.845,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_108,stock_ret20 > 15% + volatility_contraction20 > 1.3 + label:market_regime_RẤT_YẾU,30,63.33,33.33,0.629,-4.155,-10.166,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_109,stock_dist_ma20 3-8% + volume_ratio > 3x + label:volume_context_VOLUME_TĂNG_VỪA,30,63.33,20.0,-0.497,-2.427,-5.645,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_110,volatility_contraction20 < 0.8 + market_ret5 > 4% + label:volume_context_VOLUME_TRUNG_TÍNH,30,63.33,30.0,-1.943,-1.988,-6.65,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_111,volume_ratio < 1x + market_context fomo/hưng phấn + label:entry_context_ENTRY_GẦN_MA20,49,63.27,18.37,-1.106,-1.878,-4.775,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_112,volatility_contraction20 < 0.8 + market_ret5 > 4% + label:structure_context_KHÔNG_RÕ_NỀN,49,63.27,26.53,-2.118,-1.709,-6.287,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_113,volatility_contraction20 < 0.8 + market_ret5 > 4% + market_context fomo/hưng phấn,46,63.04,30.43,-1.318,-1.818,-5.545,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_114,volatility_contraction20 < 0.8 + market_ret5 > 4% + label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,46,63.04,30.43,-1.318,-1.818,-5.545,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_115,market_ret5 > 4% + market_context fomo/hưng phấn + label:volatility_context_VOLATILITY_CO_HẸP,46,63.04,30.43,-1.318,-1.818,-5.545,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_020,drawdown20 < -15% + label:market_regime_TĂNG_MẠNH,54,62.96,20.37,-2.549,-2.955,-7.287,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_116,stock_dist_ma20 < -3% + volatility_contraction20 < 0.8 + label:market_regime_YẾU,51,62.75,21.57,-3.426,-3.878,-7.328,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_021,volatility_contraction20 < 0.8 + market_ret5 > 4%,64,62.5,26.56,-1.785,-1.881,-5.867,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_022,market_ret5 > 4% + label:volatility_context_VOLATILITY_CO_HẸP,64,62.5,26.56,-1.785,-1.881,-5.867,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_117,volatility_contraction20 < 0.8 + market_ret5 > 4% + label:volatility_context_VOLATILITY_CO_HẸP,64,62.5,26.56,-1.785,-1.881,-5.867,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
V202_RULE_118,stock_dist_ma20 3-8% + volatility_contraction20 < 0.8 + label:market_regime_TĂNG_MẠNH,56,62.5,19.64,-1.229,-1.711,-5.765,BLOCK_OR_WATCH,MEDIUM_SAMPLE,Sinh từ V20.2 drilldown; chỉ dùng để hạ recommendation trong V18.2
